GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH23,01,04,21500,25000,27000,15,21000,23000,27000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23,02,03,24000,29500,38000,930,24000,29000,38000,705,23000,27000,32500,40,24500,30000,40000,140,24500,30000,35000,45
CAH23,02,04,23500,27000,35000,190,22000,27500,35000,125,24000,24000,30000,10,25000,28000,35000,40,24000,27000,36500,20
CAH23-01,01,03,24000,27000,30500,710,24000,27000,31000,640,15500,22000,28000,25,23000,28000,30500,35,NA,NA,NA,NA
CAH23-01,01,04,21500,25000,27000,15,21000,23000,27000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01,02,03,24000,29500,38000,930,24000,29000,38000,705,23000,27000,32500,40,24500,30000,40000,140,24500,30000,35000,45
CAH23-01,02,04,23500,27000,35000,190,22000,27500,35000,125,24000,24000,30000,10,25000,28000,35000,40,24000,27000,36500,20
CAH23-01-01,01,03,23500,28000,32000,195,23500,28000,32000,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01-01,02,03,24500,30000,38000,760,24000,29500,38000,565,23500,28000,32500,35,24500,30000,40000,120,27500,30000,40000,35
CAH23-01-01,02,04,23500,27500,35000,135,23000,27500,35000,90,24000,24000,30000,10,25000,30000,48000,20,24000,26000,36500,15
CAH23-01-02,01,03,23000,27500,30000,130,23500,27000,30000,100,NA,NA,NA,NA,24000,28000,30000,25,NA,NA,NA,NA
CAH23-01-02,02,03,31000,41500,49000,15,35000,41500,50000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01-02,02,04,27000,28000,28500,10,NA,NA,NA,NA,NA,NA,NA,NA,27000,28000,28500,10,NA,NA,NA,NA
CAH23-01-03,01,03,23000,26000,30000,110,23000,26000,30000,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01-03,02,03,22000,28000,32500,145,22000,28000,33000,125,NA,NA,NA,NA,23000,31000,55000,10,NA,NA,NA,NA
CAH23-01-03,02,04,22000,26000,30000,40,22000,26000,39000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01-04,01,03,24000,27000,30000,280,24000,27000,31000,245,15500,22000,28000,25,NA,NA,NA,NA,NA,NA,NA,NA
CAH24,01,03,21000,23500,26000,4980,21000,24000,26500,4280,20000,22000,25000,140,20000,22500,25000,380,20000,22000,24500,165
CAH24,01,04,14000,20000,22000,20,14000,20000,21500,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24,02,03,20000,23000,26000,65,20000,23000,26000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01,01,03,21000,23500,26000,4980,21000,24000,26500,4280,20000,22000,25000,140,20000,22500,25000,380,20000,22000,24500,165
CAH24-01,01,04,14000,20000,22000,20,14000,20000,21500,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01,02,03,20000,23000,26000,65,20000,23000,26000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-01,01,03,22000,26000,33000,45,22000,26000,33000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
