PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTUNAVAILREASON,ENTPOP,ENTAGG,ENTAGGYEAR,ENTYEAR1,ENTYEAR2,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000291,10000291,K00193,1,0,50,14,2022-23,2022-23,,,0,95,0,0,0,0,0,0
10000291,10000291,K00194,1,0,10,14,2022-23,2022-23,,,0,85,0,0,0,0,15,0
10000291,10000291,K00200,1,0,25,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00201,1,0,45,14,2022-23,2022-23,,,5,90,0,0,0,0,5,0
10000291,10000291,K00202,1,0,15,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00209,1,0,225,13,2022-23,2022-23,,CAH11-01-01,1,75,0,1,0,2,19,1
10000291,10000291,K00211,1,0,55,13,2022-23,2022-23,,CAH13-01-01,0,87,0,2,0,2,8,2
10000291,10000291,K00212,1,0,40,14,2022-23,2022-23,,,5,70,0,5,0,5,20,0
10000291,10000291,K00215,1,0,10,24,2021-23,2022-23,2021-22,,0,65,0,0,0,10,25,0
10000291,10000291,K00217,1,1,15,23,2021-23,2022-23,2021-22,CAH17-01-06,5,80,5,0,0,0,5,5
10000291,10000291,K00218,1,1,15,23,2021-23,2022-23,2021-22,CAH17-01-06,5,80,5,0,0,0,5,5
10000291,10000291,K00219,1,0,80,13,2022-23,2022-23,,CAH10-01-02,4,73,3,0,0,6,10,4
10000291,10000291,K00225,1,0,30,14,2022-23,2022-23,,,5,80,0,0,0,0,15,0
10000291,10000291,K00239,2,0,35,14,2022-23,2022-23,,,0,75,0,10,0,5,5,10
10000291,10000291,K00249,1,0,140,13,2022-23,2022-23,,CAH07-04-02,2,92,0,0,0,1,4,1
10000291,10000291,K00251,1,0,25,13,2022-23,2022-23,,CAH19-01-03,5,85,0,0,0,0,0,5
10000291,10000291,K00256,1,0,15,14,2022-23,2022-23,,,50,45,0,0,0,0,5,0
10000291,10000291,K00277,2,0,,,,,,,,,,,,,,
10000291,10000291,K00283,2,0,30,14,2022-23,2022-23,,,0,75,5,5,0,0,0,20
10000291,10000291,K00289,2,0,15,14,2022-23,2022-23,,,0,80,0,0,0,0,0,20
10000291,10000291,K00295,1,0,15,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00298,1,0,30,14,2022-23,2022-23,,,5,65,0,0,0,5,5,20
10000291,10000291,K00300,1,0,105,14,2022-23,2022-23,,,18,75,1,3,0,0,0,3
10000291,10000291,K00306,1,0,90,14,2022-23,2022-23,,,1,83,2,1,0,3,1,8
10000291,10000291,K00309,1,0,15,14,2022-23,2022-23,,,0,75,0,0,0,0,25,0
10000291,10000291,K00314,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00316,1,0,20,24,2021-23,2022-23,2021-22,,0,90,0,0,0,0,0,10
10000291,10000291,K00322,2,0,50,13,2022-23,2022-23,,CAH13-01-02,0,75,0,0,0,0,0,20
10000291,10000291,K00323,1,0,70,14,2022-23,2022-23,,,4,93,1,0,0,0,0,1
10000291,10000291,K00324,1,0,20,24,2021-23,2022-23,2021-22,,5,75,0,5,0,0,10,5
10000291,10000291,K00325,2,0,25,14,2022-23,2022-23,,,0,70,0,0,0,0,5,25
10000291,10000291,K00329,1,0,25,14,2022-23,2022-23,,,10,70,0,10,0,0,10,5
10000291,10000291,K00330,1,0,25,13,2022-23,2022-23,,CAH02-02-01,5,65,0,5,0,0,15,5
10000291,10000291,K00338,2,0,10,24,2021-23,2022-23,2021-22,,0,50,0,10,0,0,25,15
10000291,10000291,K00365,2,1,,,,,,,,,,,,,,
10000291,10000291,K00367,1,0,25,14,2022-23,2022-23,,,0,85,0,0,0,5,5,5
10000291,10000291,K00368,1,0,15,14,2022-23,2022-23,,,5,85,0,0,0,5,0,0
10000291,10000291,K00372,1,0,45,14,2022-23,2022-23,,,25,60,0,5,0,0,0,10
10000291,10000291,K00379,1,0,30,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00381,1,0,95,14,2022-23,2022-23,,,2,83,1,14,0,0,0,0
10000291,10000291,K00382,1,0,15,14,2022-23,2022-23,,,10,90,0,0,0,0,0,0
10000291,10000291,K00386,1,0,30,14,2022-23,2022-23,,,5,95,0,0,0,0,0,0
10000291,10000291,K00387,1,0,15,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00388,1,0,10,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00389,1,0,185,13,2022-23,2022-23,,CAH03-02-01,1,93,2,0,0,1,2,1
10000291,10000291,K00390,1,0,20,14,2022-23,2022-23,,,0,95,0,0,0,5,0,0
10000291,10000291,K00391,1,0,20,24,2021-23,2022-23,2021-22,,0,90,5,0,0,0,0,5
10000291,10000291,K00393,1,0,25,14,2022-23,2022-23,,,5,95,0,0,0,0,0,0
10000291,10000291,K00394,1,0,20,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00397,1,0,95,14,2022-23,2022-23,,,3,79,0,2,0,2,7,6
10000291,10000291,K00446,1,0,95,13,2022-23,2022-23,,CAH11-01-06,0,86,0,1,0,5,5,2
10000291,10000291,K00447,1,0,185,13,2022-23,2022-23,,CAH15-01-02,10,85,0,0,0,2,2,1
10000291,10000291,K00448,1,0,10,24,2021-23,2022-23,2021-22,,10,90,0,0,0,0,0,0
10000291,10000291,K00449,1,0,35,13,2022-23,2022-23,,CAH25-02-03,0,85,0,0,0,10,5,0
10000291,10000291,K00451,1,0,15,23,2021-23,2022-23,2021-22,CAH19-01-02,5,65,0,5,0,0,5,20
10000291,10000291,K00452,1,0,15,14,2022-23,2022-23,,,0,85,0,0,0,0,15,0
